Project;Version;Filename;Creation;Last Modified;Size;Age
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/BooleanValue.java;2006-05-14;2006-05-14;83;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/Configurable.java;2006-05-14;2006-05-14;45;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/Configuration.java;2006-05-14;2006-05-14;199;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/ConfigurationImpl.java;2006-05-14;2006-05-14;900;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/ConfigurationProvider.java;2006-05-14;2006-05-14;74;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/Configurations.java;2006-05-14;2006-05-14;672;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/DoubleValue.java;2006-05-14;2006-05-14;85;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/FileValue.java;2006-05-14;2006-05-14;85;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/GenericConfigurable.java;2006-05-14;2006-05-14;41;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/IntValue.java;2006-05-14;2006-05-14;85;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/MapConfigurationProvider.java;2006-05-14;2006-05-14;113;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/NoneConfigurationProvider.java;2006-05-14;2006-05-14;81;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/ObjectValue.java;2006-05-14;2006-05-14;114;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/PluginListValue.java;2006-05-14;2006-05-14;263;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/PluginValue.java;2006-05-14;2006-05-14;202;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/StringListValue.java;2006-05-14;2006-05-14;87;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/StringValue.java;2006-05-14;2006-05-14;82;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/Value.java;2006-05-14;2006-05-14;378;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/conf/ValueListener.java;2006-05-14;2006-05-14;31;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/AbstractJDBCListener.java;2006-05-14;2006-05-14;121;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/ConfiguringConnectionDecorator.java;2006-05-14;2006-05-14;209;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/ConnectionDecorator.java;2006-05-14;2006-05-14;35;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/ConnectionRequestInfo.java;2006-05-14;2006-05-14;65;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DataSourceLogs.java;2006-05-14;2006-05-14;178;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DecoratingDataSource.java;2006-05-14;2006-05-14;172;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DelegatingCallableStatement.java;2006-05-14;2006-05-14;1251;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DelegatingConnection.java;2006-05-14;2006-05-14;751;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DelegatingDataSource.java;2006-05-14;2006-05-14;156;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DelegatingDatabaseMetaData.java;2006-05-14;2006-05-14;1265;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DelegatingPreparedStatement.java;2006-05-14;2006-05-14;684;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DelegatingResultSet.java;2006-05-14;2006-05-14;1085;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/DelegatingStatement.java;2006-05-14;2006-05-14;402;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/JDBCEvent.java;2006-05-14;2006-05-14;175;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/JDBCEventConnectionDecorator.java;2006-05-14;2006-05-14;381;0
OPENJPA;refs/tags/0.9.7-incubating;openjpa-lib/java/org/apache/openjpa/lib/jdbc/JDBCListener.java;2006-05-14;2006-05-14;99;0
